From,To,Distance
Caraguatatuba,Sao Sebastiao,26.8
Caraguatatuba,Ubatuba,47.3
Caraguatatuba,Natividade da Serra,60.8
Caraguatatuba,Paraibuna,49.8
Caraguatatuba,Ilhabela,31.0
Sao Sebastiao,Caraguatatuba,26.8
Sao Sebastiao,Ilhabela,5.0
Ilhabela,Caraguatatuba,31.0
Ilhabela,Sao Sebastiao,5.0
Paraibuna,Natividade da Serra,51.4
Paraibuna,Jambeiro,21.1
Paraibuna,Santa Branca,49.3
Paraibuna,Redencao da Serra,45.3
Natividade da Serra,Paraibuna,51.2
Natividade da Serra,Caraguatatuba,61.3
Natividade da Serra,Ubatuba,108.1
Ubatuba,Caraguatatuba,47.9
Ubatuba,Natividade da Serra,108.2
Ubatuba,Sao Luis do Paraitinga,53.7
Ubatuba,Cunha,116.2
Santa Branca,Paraibuna,48.3
Santa Branca,Jambeiro,46.1
Santa Branca,Jacarei,19.1
Jacarei,Igarata,28.8
Jacarei,Sao Jose dos Campos,12.5
Jacarei,Jambeiro,43.9
Igarata,Sao Jose dos Campos,38.7
Sao Jose dos Campos,Jacarei,13.2
Sao Jose dos Campos,Igarata,37.8
Sao Jose dos Campos,Jambeiro,34.5
Sao Jose dos Campos,Cacapava,25.9
Sao Jose dos Campos,Monteiro Lobato,39.8
Jambeiro,Paraibuna,21.4
Jambeiro,Redencao da Serra,66.8
Jambeiro,Santa Branca,46.9
Jambeiro,Cacapava,25.1
Jambeiro,Sao Jose dos Campos,35.7
Jambeiro,Jacarei,43.7
Cacapava,Sao Jose dos Campos,26.5
Cacapava,Taubate,21.9
Cacapava,Jambeiro,24.8
Cacapava,Redencao da Serra,51.4
Cacapava,Monteiro Lobato,27.1
Monteiro Lobato,Sao Jose dos Campos,40.4
Monteiro Lobato,Cacapava,26.8
Monteiro Lobato,Taubate,47.8
Monteiro Lobato,Tremembe,61.0
Monteiro Lobato,Santo Antonio do Pinhal,37.5
Redencao da Serra,Natividade da Serra,22.3
Redencao da Serra,Paraibuna,45.6
Redencao da Serra,Jambeiro,68.0
Redencao da Serra,Cacapava,49.3
Redencao da Serra,Taubaté,36.4
Redencao da Serra,Sao Luis do Paraitinga,35.0
Taubate,Cacapava,20.6
Taubate,Redencao da Serra,36.5
Taubate,Tremembe,7.2
Taubate,Pindamonhangaba,17.0
Taubate,Lagoinha,64.6
Taubate,Sao Luis do Paraitinga,45.8
Tremembe,Taubate,7.4
Tremembe,Monteiro Lobato,60.9
Tremembe,Pindamonhangaba,12.1
Santo Antonio do Pinhal,Pindamonhangaba,32.9
Santo Antonio do Pinhal,Monteiro Lobato,37.5
Santo Antonio do Pinhal,Campos do Jordao,20.0
Santo Antonio do Pinhal,Sao Bento do Sapucai,28.8
Sao Bento do Sapucai,Campos do Jordao,29.4
Sao Bento do Sapucai,Santo Antonio do Pinhal,29.0
Campos do Jordao,Sao Bento do Sapucai,28.6
Campos do Jordao,Santo Antonio do Pinhal,20.1
Campos do Jordao,Pindamonhangaba,42.6
Campos do Jordao,Guaratingueta,80.3
